,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_mean_train_score,user_attrs_split0_test_score,user_attrs_split0_train_score,user_attrs_split1_test_score,user_attrs_split1_train_score,user_attrs_split2_test_score,user_attrs_split2_train_score,user_attrs_split3_test_score,user_attrs_split3_train_score,user_attrs_split4_test_score,user_attrs_split4_train_score,user_attrs_split5_test_score,user_attrs_split5_train_score,user_attrs_split6_test_score,user_attrs_split6_train_score,user_attrs_split7_test_score,user_attrs_split7_train_score,user_attrs_split8_test_score,user_attrs_split8_train_score,user_attrs_split9_test_score,user_attrs_split9_train_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,user_attrs_std_train_score,state
13,13,0.7301288663162566,2022-09-13 16:29:48.495376,2022-09-13 16:29:52.482208,0 days 00:00:03.986832,0.8707780173591,11,59,42,5.5796893859265415,10.055428095052509,0.8158050057156332,0.2868996858596802,0.03922214508056641,0.7301288663162566,0.782741220910711,0.7328541479484876,0.7855290020663417,0.7192273135669363,0.7819819540863404,0.7287313180496382,0.7877159231500279,0.7834077229999323,0.7777156841169086,0.7558356676003735,0.7797661306300356,0.7264239028944911,0.7786479659225994,0.69234360410831,0.7850696737551182,0.7124183006535947,0.7836056168273675,0.7188375350140056,0.7782480022454101,0.7312091503267975,0.7891322563069607,0.3531293271399254,0.01849041009528953,0.023476538206369846,0.0038879430455391185,COMPLETE
14,14,0.7250195706198893,2022-09-13 16:29:52.485790,2022-09-13 16:29:54.707466,0 days 00:00:02.221676,0.5837465865766208,8,27,78,2.587215863949834,14.988011487325664,0.98001853816383,0.1281480073928833,0.0354973316192627,0.7250195706198893,0.7910412097312621,0.7243186582809225,0.7868804845272082,0.7223719676549865,0.7970334268451028,0.7136505038209238,0.7885323448901725,0.7767126530060188,0.7887956934474428,0.7347105508870215,0.7914705372473914,0.7343604108309991,0.7882658747193237,0.6944444444444444,0.797438209945846,0.7124183006535947,0.7925717788271034,0.7267740429505136,0.7849778348302734,0.7104341736694677,0.7944459120327566,0.0049064722169266575,0.0029928546045349435,0.02073533275156376,0.004050464409591543,COMPLETE
15,15,0.7230904971036903,2022-09-13 16:29:54.711271,2022-09-13 16:29:58.786905,0 days 00:00:04.075634,0.43637453671062004,12,59,42,4.754741247887099,11.115396946888625,0.8183304712068333,0.29525442123413087,0.03820157051086426,0.7230904971036903,0.772561713700686,0.7351003294399521,0.7735159393184994,0.7070979335130279,0.7750670374109006,0.6992966795157909,0.7704002403519227,0.7795360789883006,0.7679660177329605,0.7363445378151261,0.773182208426892,0.729108309990663,0.7712810394928015,0.696078431372549,0.7752123646149782,0.7040149393090569,0.7726988673887201,0.7279411764705883,0.7680972213049795,0.7163865546218487,0.7781962009642055,0.38614175989765187,0.007072947354451286,0.02350772603874772,0.0030615130654219297,COMPLETE
16,16,0.7294966038758778,2022-09-13 16:29:58.795565,2022-09-13 16:30:01.195935,0 days 00:00:02.400370,0.8093888811815446,15,31,30,5.912260506505771,7.247894580076328,0.4277195396558762,0.1489192485809326,0.03407406806945801,0.7294966038758778,0.7941191350735113,0.7234201856843365,0.7958117874372201,0.7202755315962863,0.7972462538524578,0.7227632379793061,0.7940810042028617,0.7938899032934335,0.7886617524754352,0.7510504201680672,0.7903917910447762,0.7358776844070962,0.7975610058116498,0.6902427637721755,0.796299200898164,0.7096171802054155,0.7918698817857615,0.72093837535014,0.7871454398362172,0.7268907563025211,0.8021232333905692,0.01139315274373187,0.002455378352427665,0.026144140087473632,0.004366667297124323,COMPLETE
17,17,0.7213620952540075,2022-09-13 16:30:01.200042,2022-09-13 16:30:03.076571,0 days 00:00:01.876529,0.501697028909591,5,71,72,3.973729168231269,4.836372209350278,0.5230489403808735,0.09623122215270996,0.03726940155029297,0.7213620952540075,0.7678053025111888,0.7380952380952381,0.7687978267286775,0.7187780772686433,0.7700999729579652,0.7105058497328736,0.7679487084381164,0.7855041590586326,0.7707004741922535,0.73062558356676,0.7633812409192973,0.7338935574229692,0.7668021892748647,0.7103174603174602,0.7720285464271562,0.7048319327731092,0.7672285695416722,0.6944444444444444,0.7626331148461234,0.686624649859944,0.7684323817857615,0.005600902115869567,0.005124572632732287,0.02662342514436429,0.002838043727450349,COMPLETE
18,18,0.7281526102021252,2022-09-13 16:30:03.080450,2022-09-13 16:30:05.404782,0 days 00:00:02.324332,0.9898542113713154,10,53,36,2.1096611424531555,11.021768663322423,0.7546491643556258,0.13750216960906983,0.03418254852294922,0.7281526102021252,0.7975772253632599,0.7244684037136867,0.7996125351185205,0.717580113806529,0.7982478412818337,0.715746939879624,0.8006319541122351,0.789697031176033,0.7940313430117019,0.7436974789915967,0.7951269647338528,0.7137021475256768,0.7956536454893672,0.6933940242763772,0.7969030676264695,0.715219421101774,0.7958598187161537,0.736811391223156,0.7998097180029058,0.7312091503267975,0.7998953655395589,0.005243156819019533,0.0018499395493085226,0.024448251238198545,0.0022352308400458427,COMPLETE
19,19,0.7260369302925065,2022-09-13 16:30:05.409192,2022-09-13 16:30:07.650126,0 days 00:00:02.240934,0.5841126381130173,13,63,48,0.6298134193900622,14.282293764344791,0.8791123695295644,0.1277148962020874,0.03734898567199707,0.7260369302925065,0.7905930438908839,0.7244684037136867,0.7909685796325999,0.726564839772387,0.7899333444804317,0.7045377696625414,0.7940313430117019,0.7746162169473185,0.7842643673329097,0.7505835667600373,0.7905647371549334,0.728641456582633,0.7932280659754325,0.6812558356676004,0.7926782707040021,0.7179038281979458,0.7925740490027737,0.7274743230625583,0.7890905676264695,0.7243230625583567,0.7885971139875843,0.006548135157224219,0.0049640427170756455,0.023474918762089087,0.002718605232503993,COMPLETE
20,20,0.7236084685446504,2022-09-13 16:30:07.653961,2022-09-13 16:30:09.879108,0 days 00:00:02.225147,0.6490879802560305,8,35,56,0.022014496347428025,11.8767995036309,0.6019217214889993,0.12777214050292968,0.034519624710083005,0.7236084685446504,0.804904695354869,0.7322551662174304,0.8039555684916944,0.7075471698113207,0.8076324595246794,0.7259078920673565,0.8089150698842174,0.7714715628592683,0.7996319302089232,0.7341269841269842,0.8055194161933694,0.7237394957983193,0.8009154999339585,0.7061157796451913,0.806781221106855,0.6954948646125116,0.8034391097609299,0.7151027077497666,0.803463875313697,0.7243230625583567,0.8087928031303658,0.0036030712474341823,0.0035910449244847195,0.01977062893294024,0.003022927250694241,COMPLETE
21,21,0.73119791941934,2022-09-13 16:30:09.882900,2022-09-13 16:30:12.023905,0 days 00:00:02.141005,0.5500011367140297,10,55,30,3.329466298540246,14.965174312377817,0.4078204865865622,0.12003951072692871,0.03764309883117676,0.73119791941934,0.7798696449741069,0.7392932015573525,0.7827430531902375,0.7213237496256364,0.7770016782575846,0.7321972002434571,0.7791626587406582,0.769375126800568,0.7730654596318396,0.7478991596638656,0.7820773758420287,0.7375116713352008,0.7805553262448818,0.6902427637721755,0.7826001353850218,0.7273576097105509,0.7793746285167085,0.7161531279178338,0.7773067048606526,0.73062558356676,0.7848094290714569,0.009546408366459406,0.010603956106641914,0.019644519614790464,0.0032755680131980667,COMPLETE
22,22,0.7283698760494256,2022-09-13 16:30:12.028249,2022-09-13 16:30:14.204276,0 days 00:00:02.176027,0.5769283353923006,9,59,32,3.589187497251997,13.929132576672236,0.4774611383368357,0.11928820610046387,0.03800806999206543,0.7283698760494256,0.7799036311723242,0.7529200359389039,0.7806376965966257,0.7133872416891285,0.7809394939630205,0.7094576317035234,0.7837654887279399,0.7686481368769865,0.7766960842253803,0.753734827264239,0.778325188218201,0.7243230625583567,0.7820233043851539,0.6902427637721755,0.7810842771760665,0.7124183006535947,0.7781792778364813,0.7263071895424836,0.7736587389380531,0.7322595704948647,0.7837267616563202,0.0066698075481130496,0.006333266093457591,0.02279138490908904,0.0030295377004079705,COMPLETE
23,23,0.7296472017494359,2022-09-13 16:30:14.208286,2022-09-13 16:30:16.311238,0 days 00:00:02.102952,0.5345761962205657,12,47,36,5.238788766127422,13.26440341191358,0.46878256614200764,0.11623058319091797,0.0360645055770874,0.7296472017494359,0.7780320084295711,0.7497753818508535,0.7797527408444134,0.717580113806529,0.7764666175368629,0.7245384459322377,0.7807157558268445,0.7683269087712179,0.7703829310570787,0.7410130718954249,0.7754579563465857,0.7343604108309991,0.776522049597147,0.6881419234360411,0.7824356508387267,0.7200046685340803,0.7796765618808612,0.7336601307189543,0.7783043438779553,0.7190709617180205,0.7806054764892352,0.00465902210382411,0.004124253861529615,0.02041568450414466,0.0032988103947812633,COMPLETE
24,24,0.7266704856014226,2022-09-13 16:30:16.315295,2022-09-13 16:30:18.404638,0 days 00:00:02.089343,0.45357498433828947,11,65,44,2.4554257416177583,8.375028346969547,0.5217311689682659,0.11594204902648926,0.034450864791870116,0.7266704856014226,0.78101875539008,0.7351003294399521,0.783161482233796,0.7123390236597784,0.7820300517514363,0.7034895516331913,0.7848324831172556,0.7714715628592683,0.775415402469954,0.7384453781512605,0.7805908235371813,0.7354108309990663,0.780486601835953,0.6929271708683473,0.7826835127460045,0.7246732026143792,0.7824271892748647,0.7285247432306255,0.7745521562541275,0.7243230625583567,0.7840078506802273,0.009501099467159366,0.0026934102671167305,0.02046347018143398,0.0032791628955920653,COMPLETE
25,25,0.7187613125997,2022-09-13 16:30:18.409054,2022-09-13 16:30:20.466551,0 days 00:00:02.057497,0.6348850830446822,6,55,34,4.272482188747797,14.989559827002205,0.449404233864713,0.11459205150604249,0.03472714424133301,0.7187613125997,0.7714920435219426,0.7337526205450733,0.7722282430315153,0.7154836777478286,0.7743540359720993,0.7108270778386421,0.770663588909193,0.7805842970176506,0.7656830453808499,0.7279411764705883,0.7694300208030642,0.7359943977591037,0.7695528166688681,0.6965452847805789,0.7765282409853388,0.6953781512605042,0.7740417794875182,0.7044817927170868,0.7651026532162197,0.686624649859944,0.7773360107647602,0.013385987362227778,0.0025214687138850537,0.026036049467847187,0.0039751355376964,COMPLETE
26,26,0.732995582083513,2022-09-13 16:30:20.471003,2022-09-13 16:30:22.767800,0 days 00:00:02.296797,0.593791771496991,13,45,62,6.302968141826921,11.489697158509118,0.623277798111614,0.13451852798461914,0.03496382236480713,0.732995582083513,0.7795696629096799,0.7502246181491465,0.7790120780874882,0.7181790955375861,0.7747856763914778,0.7045377696625414,0.7791325735377149,0.8068742814634476,0.7756117805412205,0.7468487394957983,0.7776734414212125,0.7343604108309991,0.7807406551314224,0.6912931839402428,0.7836974557522124,0.7123015873015872,0.7827330438515387,0.7426470588235294,0.7746811435081231,0.7226890756302521,0.7876287808743891,0.013833482919831244,0.0019810164370707814,0.030569194468357194,0.0039989103961117515,COMPLETE
27,27,0.7360893667671979,2022-09-13 16:30:22.774630,2022-09-13 16:30:24.975629,0 days 00:00:02.200999,0.6870666664540328,14,47,62,6.189570006463087,11.528179627918757,0.6303109396915325,0.12565021514892577,0.03555138111114502,0.7360893667671979,0.7814476184494087,0.7407906558849955,0.7855290020663417,0.7213237496256364,0.7817559157031652,0.720666801920606,0.7798820247918558,0.7928416852640834,0.7741948911204142,0.7526844070961718,0.777763010170387,0.7343604108309991,0.7826271711134593,0.6929271708683473,0.7872248959846784,0.7303921568627451,0.7842573636243562,0.7436974789915967,0.7786541573107912,0.7312091503267975,0.7825877526086382,0.004011709220316133,0.003897083018645969,0.024401484835844516,0.0037033565044880742,COMPLETE
28,28,0.734010356019056,2022-09-13 16:30:24.983943,2022-09-13 16:30:27.263816,0 days 00:00:02.279873,0.7508536509304569,13,45,74,6.148911217088808,11.303186214796854,0.6283797202717555,0.1334904670715332,0.03425917625427246,0.734010356019056,0.7845511099944193,0.738544474393531,0.7846657212275845,0.7223719676549865,0.7861806944642271,0.7329241901670387,0.7874653505008569,0.7865523770879828,0.781281604917818,0.7489495798319328,0.7799784952450138,0.7274743230625583,0.7851924696209219,0.6933940242763772,0.7869832254655924,0.7224556489262371,0.7822333988244617,0.7394957983193278,0.7798202020869106,0.7279411764705883,0.791709937590807,0.007466659775377566,0.0020056913992211236,0.022436302859885956,0.00357894625815859,COMPLETE
29,29,0.7258126460160044,2022-09-13 16:30:27.271199,2022-09-13 16:30:29.749426,0 days 00:00:02.478227,0.7118670294093755,14,19,74,7.1157792855715005,10.669507624541183,0.6905712136936673,0.15208959579467773,0.03592054843902588,0.7258126460160044,0.7912258210878995,0.7416891284815813,0.7930078793471103,0.717580113806529,0.793521265154377,0.7248596740380064,0.795515202918512,0.7959863393521336,0.7887610748577547,0.7341269841269842,0.7877160794478932,0.7274743230625583,0.7891778661999735,0.688608776844071,0.7932173342359001,0.7006302521008403,0.7955263092722229,0.7188375350140056,0.7820897586184123,0.7083333333333333,0.7937254408268393,0.004812991599490059,0.002596754135895114,0.027729842143301382,0.004020037695093875,COMPLETE
30,30,0.7274387336594204,2022-09-13 16:30:29.756674,2022-09-13 16:30:32.252277,0 days 00:00:02.495603,0.7683897221952821,14,11,74,9.103343323061102,8.328286045719896,0.7660587470062277,0.15576591491699218,0.03435778617858887,0.7274387336594204,0.7919786587398301,0.7391434561245882,0.7917994513150479,0.718628331835879,0.7928900091034636,0.720666801920606,0.7958824072448465,0.805099073510516,0.7886120912842756,0.7183706816059757,0.7894341896711135,0.738562091503268,0.7902211151102893,0.6854575163398693,0.7956953341698587,0.7054154995331465,0.7908891658961827,0.7336601307189543,0.7896837026152423,0.7093837535014005,0.7946791209879804,0.01380364207109388,0.001633679407109081,0.030182285119253128,0.0025408458618540655,COMPLETE
31,31,0.7304310281629389,2022-09-13 16:30:32.259527,2022-09-13 16:30:34.548503,0 days 00:00:02.288976,0.6880609023620922,13,45,60,6.040837939646073,11.400885217044847,0.6334781680810841,0.13224337100982667,0.03639216423034668,0.7304310281629389,0.7845154514719319,0.7339023659778376,0.7855085657193697,0.7223719676549865,0.7808709599509528,0.7318759721376885,0.7871327647642103,0.7956651112463651,0.7792988664060381,0.7447478991596639,0.7818858555672963,0.7343604108309991,0.7874496433760402,0.680672268907563,0.7885593465196143,0.7033146591970121,0.7828496483291507,0.7315592903828197,0.7801700155197464,0.7258403361344539,0.7914288485669,0.007295317690364732,0.004881850332450968,0.02790799878543489,0.003868614739164875,COMPLETE
32,32,0.7281548407555354,2022-09-13 16:30:34.556148,2022-09-13 16:30:36.934779,0 days 00:00:02.378631,0.8420813651388983,13,35,52,6.4332330228885874,12.151492899702491,0.5908767333590197,0.14438514709472655,0.03576540946960449,0.7281548407555354,0.7871544589559123,0.7328541479484876,0.7921697826935106,0.7192273135669363,0.7888355617208642,0.7196185838912559,0.7858325070205676,0.7865523770879828,0.7804651831776733,0.7399626517273576,0.7862210655791837,0.7295751633986928,0.7873330388984282,0.6833566760037348,0.7884720479461101,0.7124183006535947,0.7875431333377361,0.7257236227824464,0.7812526829348831,0.7322595704948647,0.7934195862501652,0.00782949538108583,0.0019359936675809389,0.02450232593792146,0.0038903283766964377,COMPLETE
33,33,0.728849807319966,2022-09-13 16:30:36.941358,2022-09-13 16:30:39.162042,0 days 00:00:02.220684,0.6879829358072641,11,43,68,7.471032591561167,6.2126326182444265,0.5408161189793252,0.12674188613891602,0.035165047645568846,0.728849807319966,0.783105956375179,0.747529200359389,0.7847342552396523,0.7144354597184785,0.7818725473803286,0.7196185838912559,0.7839490908911072,0.7805842970176506,0.7798624488036392,0.7489495798319328,0.7824959136837935,0.7312091503267975,0.782531410976093,0.6902427637721755,0.7822294776119403,0.7054154995331465,0.7827330438515387,0.7267740429505136,0.7803885715229164,0.7237394957983193,0.7902628037907806,0.0062474821244489515,0.002818705591849266,0.024079094834190084,0.002749873647248875,COMPLETE
34,34,0.7349470889999336,2022-09-13 16:30:39.168698,2022-09-13 16:30:41.412841,0 days 00:00:02.244143,0.7401080903863574,14,49,60,5.169133723832527,13.531491473347973,0.6269553295468772,0.13090834617614747,0.03574068546295166,0.7349470889999336,0.78312467303009,0.7407906558849955,0.7868804845272082,0.7202755315962863,0.7835943612196576,0.7164739298032055,0.7865322970835487,0.7774396429296002,0.7759985608557716,0.7468487394957983,0.7827978470479462,0.7566526610644257,0.7821275260863823,0.6902427637721755,0.7862357185312376,0.7289915966386555,0.782531410976093,0.7394957983193278,0.7780024105138026,0.7322595704948647,0.7865461134592524,0.008893971185224937,0.003043023869834686,0.02251869414388058,0.0035467677190496607,COMPLETE
35,35,0.732456661910047,2022-09-13 16:30:41.419353,2022-09-13 16:30:43.805361,0 days 00:00:02.386008,0.7696186516504436,14,39,56,5.172626784869495,13.473648518103435,0.6606699850566442,0.14338352680206298,0.03638765811920166,0.732456661910047,0.7893104810237584,0.744983528002396,0.7924030460478375,0.7223719676549865,0.7907016685554805,0.7087306417799418,0.7900312473984542,0.7865523770879828,0.7829317576929513,0.7468487394957983,0.7874079546955488,0.7237394957983193,0.786777052238806,0.7002801120448179,0.7912226753401136,0.7410130718954249,0.7899794445912033,0.7246732026143792,0.786879003764364,0.7253734827264239,0.7947709599128252,0.01065644066653797,0.004133795774228216,0.022913556959616763,0.0032027762212083,COMPLETE
36,36,0.7320295038283116,2022-09-13 16:30:43.814064,2022-09-13 16:30:46.046345,0 days 00:00:02.232281,0.727710210866088,14,49,48,5.650560741106449,13.159894033978471,0.6774406009719097,0.12987151145935058,0.03553388118743896,0.7320295038283116,0.7813192475629043,0.7349505840071877,0.7845755123020616,0.7192273135669363,0.7812893889945111,0.721715019949956,0.7801152881461828,0.7834077229999323,0.7761821630189388,0.7547852474323062,0.7801638241315547,0.7375116713352008,0.7817213710210011,0.6760037348272643,0.7861067312772421,0.7389122315592904,0.7819399270241711,0.7305088702147525,0.775834805507859,0.7232726423902894,0.7852634642055211,0.009327903905890306,0.0027068014961815993,0.025945462950922787,0.003299715244434626,COMPLETE
37,37,0.7352481213625641,2022-09-13 16:30:46.055859,2022-09-13 16:30:48.459149,0 days 00:00:02.403290,0.7430839934111675,15,37,66,4.759979213274247,12.529581081225086,0.7314568552743393,0.14521195888519287,0.036219310760498044,0.7352481213625641,0.7919379858173767,0.7439353099730459,0.793987791863031,0.7112908056304283,0.791586624307693,0.7115540677622236,0.7935151551118882,0.7917934672347333,0.7858452829286667,0.7521008403361344,0.7937941652357681,0.7560690943043884,0.7936798309338264,0.6860410830999066,0.7932134130233788,0.7358776844070962,0.7921076310923261,0.7415966386554622,0.7868102793554352,0.7222222222222222,0.794839684321754,0.008709762152394716,0.0032384425242383136,0.02785217814525635,0.0029458750737116645,COMPLETE
38,38,0.7358121743320984,2022-09-13 16:30:48.464135,2022-09-13 16:30:50.900114,0 days 00:00:02.435979,0.8194008675623508,15,37,66,5.100865901280958,12.6151704494989,0.7431969187474645,0.14851455688476561,0.03552467823028564,0.7358121743320984,0.7920544389801892,0.7487271638215034,0.7946394842609164,0.7244684037136867,0.7938915965328396,0.7276831000202881,0.7920982656910818,0.7956651112463651,0.7868152216290354,0.7558356676003735,0.7906458443402457,0.7449813258636788,0.7898589189010699,0.6849906629318394,0.7943315777308149,0.7146358543417366,0.7922574626865672,0.7378618113912232,0.790164773477744,0.7232726423902894,0.7958412445515783,0.010288909621415206,0.004131235803467115,0.027607337859694256,0.002597126973195003,COMPLETE
