,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_n_estimators,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_mean_train_score,user_attrs_split0_test_score,user_attrs_split0_train_score,user_attrs_split1_test_score,user_attrs_split1_train_score,user_attrs_split2_test_score,user_attrs_split2_train_score,user_attrs_split3_test_score,user_attrs_split3_train_score,user_attrs_split4_test_score,user_attrs_split4_train_score,user_attrs_split5_test_score,user_attrs_split5_train_score,user_attrs_split6_test_score,user_attrs_split6_train_score,user_attrs_split7_test_score,user_attrs_split7_train_score,user_attrs_split8_test_score,user_attrs_split8_train_score,user_attrs_split9_test_score,user_attrs_split9_train_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,user_attrs_std_train_score,state
34,34,0.7229246192289047,2022-09-13 16:17:48.795434,2022-09-13 16:17:52.008783,0 days 00:00:03.213349,0.07282736307142619,130,0.2806882619857788,0.037657856941223145,0.7229246192289047,,0.7159329140461216,,0.7259658580413297,,0.7150199499560425,,0.7728410089943869,,0.7452147525676938,,0.7354108309990663,,0.6758870214752568,,0.7019140989729225,,0.7083333333333333,,0.7327264239028946,,0.008277387362852634,0.0020448876555226063,0.024955914989947207,,COMPLETE
35,35,0.7168378225707001,2022-09-13 16:17:52.012128,2022-09-13 16:17:54.693304,0 days 00:00:02.681176,0.14135861893785898,100,0.22928290367126464,0.035887622833251955,0.7168378225707001,,0.7009583707696916,,0.7196765498652291,,0.70590721579766,,0.7598566308243728,,0.7271241830065359,,0.7205882352941176,,0.6784547152194211,,0.7002801120448179,,0.7261904761904762,,0.7293417366946778,,0.013812071598917097,0.0016676978030765468,0.020836091050646433,,COMPLETE
36,36,0.7344100157815205,2022-09-13 16:17:54.696176,2022-09-13 16:17:56.966038,0 days 00:00:02.269862,0.04886237257460809,80,0.18675751686096193,0.03576076030731201,0.7344100157815205,,0.7318059299191375,,0.7181790955375861,,0.7308277541083383,,0.7805842970176506,,0.7399626517273576,,0.738562091503268,,0.6902427637721755,,0.7379785247432307,,0.7457983193277311,,0.7301587301587302,,0.010899603436989489,0.0029079492107445277,0.02138793976434409,,COMPLETE
37,37,0.7000733454266267,2022-09-13 16:17:56.969439,2022-09-13 16:17:59.848679,0 days 00:00:02.879240,0.2365066401021939,110,0.24451150894165039,0.040359210968017575,0.7000733454266267,,0.6913746630727763,,0.7142857142857143,,0.703405017921147,,0.7013085818624467,,0.7186041083099907,,0.6835901027077498,,0.6603641456582633,,0.7149859943977591,,0.7008636788048552,,0.7119514472455649,,0.011428852405765596,0.0052516124246021565,0.016870958457544,,COMPLETE
38,38,0.7198988238021928,2022-09-13 16:17:59.852092,2022-09-13 16:18:02.198725,0 days 00:00:02.346633,0.15598319184046017,80,0.19408206939697265,0.03767096996307373,0.7198988238021928,,0.7190775681341719,,0.7205750224618149,,0.7181646040440928,,0.7430851423547711,,0.7340102707749767,,0.7205882352941176,,0.6953781512605042,,0.719421101774043,,0.7045985060690942,,0.7240896358543417,,0.009404017456214157,0.004127862750424426,0.012627379158735002,,COMPLETE
39,39,0.7327903711697703,2022-09-13 16:18:02.202133,2022-09-13 16:18:04.133342,0 days 00:00:01.931209,0.06770896694858441,60,0.15457775592803955,0.03561303615570068,0.7327903711697703,,0.7318059299191375,,0.7223719676549865,,0.73260296206127,,0.7753432068709001,,0.7420634920634921,,0.7375116713352008,,0.6902427637721755,,0.7300420168067228,,0.7426470588235294,,0.7232726423902894,,0.009505962108259616,0.0028723219072621024,0.0200852345037444,,COMPLETE
40,40,0.6859232828858872,2022-09-13 16:18:04.136849,2022-09-13 16:18:05.981107,0 days 00:00:01.844258,0.863565397855474,60,0.14738984107971193,0.03418862819671631,0.6859232828858872,,0.6489967056004792,,0.7036537885594489,,0.7114695340501792,,0.7037262460269156,,0.6853408029878618,,0.6702847805788983,,0.6551120448179272,,0.69234360410831,,0.6653828197945846,,0.722922502334267,,0.012964970614848371,0.0015192156690972498,0.023819754833996,,COMPLETE
41,41,0.7343640194970259,2022-09-13 16:18:05.984577,2022-09-13 16:18:07.856216,0 days 00:00:01.871639,0.0733300986694952,60,0.14843485355377198,0.03581235408782959,0.7343640194970259,,0.7418388739143456,,0.7202755315962863,,0.7227632379793061,,0.794616893217015,,0.7478991596638656,,0.7295751633986928,,0.6981792717086834,,0.7268907563025211,,0.7447478991596639,,0.7168534080298786,,0.006165530854374793,0.00444047300861142,0.024505328260149062,,COMPLETE
42,42,0.7308738214295659,2022-09-13 16:18:07.859833,2022-09-13 16:18:09.810613,0 days 00:00:01.950780,0.06438400095849488,60,0.15570955276489257,0.036594510078430176,0.7308738214295659,,0.7159329140461216,,0.7181790955375861,,0.7308277541083383,,0.7795360789883006,,0.7478991596638656,,0.7295751633986928,,0.6870915032679739,,0.734827264239029,,0.7426470588235294,,0.7222222222222222,,0.009278523615212902,0.0016282429112516126,0.022781424994339213,,COMPLETE
43,43,0.7251646347319614,2022-09-13 16:18:09.818963,2022-09-13 16:18:11.733737,0 days 00:00:01.914774,0.15526177278137565,60,0.15368030071258545,0.03399207592010498,0.7251646347319614,,0.7184785864031147,,0.7359988020365379,,0.7129235138973422,,0.7665517008182863,,0.7356442577030813,,0.7264239028944911,,0.6880252100840336,,0.7118347338935574,,0.7320261437908497,,0.7237394957983193,,0.00784334663064417,0.0014823291886348036,0.0193451787352016,,COMPLETE
44,44,0.6976067014348852,2022-09-13 16:18:11.737134,2022-09-13 16:18:13.986951,0 days 00:00:02.249817,0.4878085641336567,90,0.18795449733734132,0.03431344032287598,0.6976067014348852,,0.6786463012878108,,0.7136867325546571,,0.7023567998917968,,0.697436937850815,,0.7138188608776844,,0.6660830999066293,,0.6720354808590103,,0.7134687208216619,,0.6881419234360411,,0.7303921568627451,,0.008029786341287806,0.001250875743664395,0.019917798793119588,,COMPLETE
45,45,0.7281562401791717,2022-09-13 16:18:13.990216,2022-09-13 16:18:17.471329,0 days 00:00:03.481113,0.053111220844922105,150,0.307455039024353,0.03780050277709961,0.7281562401791717,,0.7196765498652291,,0.727613057801737,,0.7129235138973422,,0.7717927909650368,,0.7552521008403361,,0.7412464985994398,,0.6865079365079365,,0.7107843137254902,,0.7230392156862745,,0.7327264239028946,,0.014280913618091128,0.0016291058529106957,0.022797720908441097,,COMPLETE
46,46,0.7270751037278372,2022-09-13 16:18:17.474747,2022-09-13 16:18:19.143894,0 days 00:00:01.669147,0.0104671552247411,50,0.1300680160522461,0.03372292518615723,0.7270751037278372,,0.727613057801737,,0.7214734950584007,,0.7161527016974369,,0.7683269087712179,,0.7400793650793651,,0.7349439775910365,,0.6887254901960784,,0.7274743230625583,,0.7315592903828197,,0.7144024276377218,,0.0065092565529387076,0.0020720748348351183,0.01932683257093586,,COMPLETE
